0.288	5.844	25.954
0.288	5.849	25.951
0.288	5.856	25.952
0.289	5.862	25.956
0.289	5.868	25.932
0.289	5.877	25.950
0.290	5.887	25.942
0.290	5.896	25.945
0.290	5.913	25.945
0.291	5.925	25.948
0.291	5.933	25.944
0.291	5.936	25.943
0.292	5.946	25.939
0.293	5.959	25.945
0.293	5.970	25.939
0.293	5.977	25.944
0.294	5.982	25.943
0.294	5.992	25.950
0.294	6.001	25.938
0.295	6.009	25.945
0.295	6.015	25.942
0.295	6.022	25.937
0.296	6.027	25.943
0.296	6.031	25.945
0.297	6.041	25.944
0.297	6.058	25.945
0.298	6.069	25.940
0.298	6.077	25.942
0.298	6.086	25.939
0.299	6.095	25.935
0.299	6.102	25.934
0.299	6.112	25.938
0.300	6.119	25.941
0.300	6.128	25.939
0.300	6.135	25.923
0.301	6.147	25.934
0.301	6.157	25.935
0.301	6.163	25.940
0.301	6.166	25.931
0.301	6.172	25.941
0.302	6.175	25.940
0.302	6.180	25.934
0.302	6.188	25.941
0.302	6.193	25.936
0.303	6.198	25.929
0.303	6.202	25.939
0.303	6.212	25.936
0.303	6.220	25.935
0.304	6.226	25.937
0.304	6.233	25.935
0.304	6.239	25.934
0.304	6.246	25.935
0.305	6.251	25.933
0.305	6.257	25.925
0.305	6.265	25.929
0.305	6.271	25.929
0.306	6.279	25.926
0.306	6.290	25.930
0.306	6.297	25.927
0.306	6.303	25.926
0.307	6.310	25.927
0.307	6.321	25.927
0.307	6.329	25.916
0.308	6.342	25.928
0.308	6.355	25.919
0.308	6.360	25.922
0.309	6.368	25.929
0.309	6.378	25.924
0.309	6.394	25.921
0.310	6.415	25.923
0.311	6.421	25.927
0.311	6.429	25.921
0.311	6.438	25.921
0.311	6.444	25.921
0.312	6.447	25.925
0.312	6.450	25.921
0.312	6.454	25.920
0.313	6.459	25.920
0.313	6.465	25.925
0.313	6.473	25.925
0.314	6.486	25.921
0.314	6.492	25.927
0.315	6.500	25.915
0.315	6.510	25.915
0.315	6.516	25.911
0.316	6.524	25.923
0.316	6.536	25.916
0.316	6.546	25.920
0.317	6.551	25.915
0.317	6.566	25.910
0.318	6.579	25.920
0.318	6.592	25.913
0.318	6.598	25.912
0.319	6.604	25.914
0.319	6.615	25.923
0.320	6.627	25.916
0.320	6.634	25.918
0.320	6.638	25.912
0.321	6.648	25.906
0.321	6.657	25.915
0.321	6.668	25.903
0.322	6.679	25.914
0.322	6.688	25.912
0.322	6.697	25.905
0.323	6.707	25.910
0.323	6.713	25.910
0.323	6.721	25.907
0.323	6.727	25.910
0.324	6.733	25.912
0.324	6.742	25.914
0.325	6.757	25.908
0.325	6.772	25.901
0.326	6.785	25.916
0.326	6.795	25.905
0.326	6.813	25.912
0.327	6.827	25.916
0.328	6.850	25.904
0.328	6.869	25.897
0.329	6.883	25.901
0.329	6.893	25.907
0.330	6.901	25.903
0.330	6.904	25.902
0.331	6.907	25.899
0.331	6.915	25.903
0.331	6.920	25.901
0.332	6.925	25.902
0.332	6.936	25.902
0.333	6.943	25.898
0.333	6.951	25.901
0.333	6.963	25.902
0.334	6.969	25.906
0.334	6.981	25.889
0.334	6.991	25.894
0.335	6.998	25.903
0.335	7.007	25.894
0.336	7.018	25.891
0.336	7.026	25.893
0.336	7.035	25.885
0.337	7.041	25.896
0.337	7.053	25.894
0.337	7.062	25.889
0.338	7.071	25.895
0.338	7.081	25.894
0.339	7.091	25.888
0.339	7.101	25.891
0.339	7.111	25.889
0.340	7.121	25.888
0.340	7.134	25.894
0.341	7.149	25.894
0.341	7.162	25.884
0.342	7.174	25.892
0.342	7.183	25.885
0.342	7.196	25.887
0.343	7.202	25.895
0.343	7.214	25.893
0.343	7.225	25.885
0.344	7.237	25.884
0.344	7.247	25.884
0.344	7.255	25.889
0.345	7.264	25.885
0.345	7.269	25.877
0.345	7.275	25.887
0.345	7.278	25.889
0.345	7.282	25.891
0.346	7.289	25.882
0.346	7.295	25.894
0.346	7.304	25.886
0.347	7.317	25.866
0.347	7.336	25.884
0.348	7.343	25.885
0.348	7.349	25.889
0.348	7.335	25.861
0.348	7.323	25.830
0.349	7.367	25.887
0.349	7.370	25.884
0.349	7.375	25.882
0.349	7.379	25.877
0.350	7.384	25.874
0.350	7.392	25.874
0.350	7.397	25.882
0.351	7.401	25.877
0.351	7.403	25.886
0.351	7.407	25.881
0.351	7.408	25.884
