#freq (kHz) Vin (v) Vout (V)
#metà banda
495.2   0.204   4.56
399.9   0.208   4.56
608.8   0.204   4.52
548.6   0.206   4.48
336.4   0.206   4.60
#
#taglio inferiore
#
21.73   0.212   2.96
23.64   0.212   3.08
25.36   0.212   3.24
26.71   0.212   3.22
27.38   0.214   3.36
28.81   0.210   3.36
26.23   0.212   3.22
27.56   0.208   3.28
24.57   0.210   3.10
23.55   0.210   3.06
#
#taglio superiore
#
2416    0.196   3.36
2600    0.198   3.28
2750    0.200   3.28
2870    0.198   3.12
3060    0.196   3.02
3190    0.196   2.96
2940    0.196   3.08
2850    0.198   3.14
2886    0.198   3.16
2739    0.196   3.18
