#dati di ricky
32      0.112       0.024
114     0.282       0.026
184     0.420       0.050
262     0.576       0.152
226     0.504       0.094
302     0.648       0.216
386     0.816       0.352
498     1.04        0.568
626     1.27        0.804
780     1.58        1.08
1000    2.00        1.50
1258    2.48        1.97
1534    3.01        2.50
1756    3.44        2.90
2036    3.98        3.43
2238    4.35        3.80
