0.06 0.11 9
0.30 0.37 59
0.50 0.59 100
0.80 0.91 164
1.10 1.25 227
1.40 1.58 290
1.80 2.04 375
2.20 2.52 459
2.60 2.94 543
3.00 3.40 628
3.50 4.00 733
4.00 4.52 837
4.50 5.08 943
4.80 5.44 1007
