1.4 1.64 290
1.6 1.88 331
2.0 2.32 415
2.4 2.76 499
2.8 3.24 584
3.2 3.64 667
3.6 4.08 751
4.0 4.52 835
4.4 4.96 919
4.8 5.40 1002
